rank,name,category,city,phone,website,google_rating,google_review_count,antigravity_score,priority,digital_weakness,business_value,market_position,website_tier,has_https,has_mobile,has_seo,has_email_capture,has_online_arrangements,platform,has_facebook,facebook_active,fb_likes,audit_stage,last_audited
45,Ashland Monument Co,monument,Ashland,(419) 281-2688,https://www.ashlandmonumentco.com/,4.3,27,61.1,B — High Priority,59,60,68,not_audited,,,,,,,,,,enhanced,2026-03-07
46,Ebling Stabingas Funeral Home & Cremation Services,cremation,Cressona,(570) 385-3050,https://www.gsesfuneralhomes.com/cressona-location,5.0,10,60.5,B — High Priority,63,80,25,not_audited,,,,,,,,,,enhanced,2026-03-07
47,Geschwindt Stabingas Ebling Funeral Home & On-site Crematory,cremation,Schuylkill Haven,(570) 385-3381,https://www.gsesfuneralhomes.com/schuylkill-location,4.9,44,60.5,B — High Priority,59,70,50,not_audited,,,,,,,,,,enhanced,2026-03-07
48,​​Ruth Steinert Memorial SPCA,monument,Pine Grove,(570) 345-3540,http://www.rsmspca.org/,4.6,225,60.4,B — High Priority,59,75,42,not_audited,,,,,,,,,,enhanced,2026-03-07
49,Cremation Society of Schuylkill County,cremation,Schuylkill Haven,(570) 593-8698,https://www.schuylkillcountycremation.com/,5.0,17,59.0,B — High Priority,59,65,50,not_audited,,,,,,,,,,enhanced,2026-03-07
50,Schuylkill Memorial Park Inc & Grabowski Funeral Home,cemetery,Schuylkill Haven,(570) 385-2647,http://www.schuylkillmemorialpark.com/,5.0,7,59.0,B — High Priority,63,65,40,not_audited,,,,,,,,,,enhanced,2026-03-07
51,E. T. Everett & Sons,monument,Mahanoy City,(570) 773-0210,https://eteverettandsonspa.com/,4.8,4,58.0,B — High Priority,67,55,40,not_audited,,,,,,,,,,enhanced,2026-03-07
52,Sausser Harold D & Sons Memorials,monument,Schuylkill Haven,(570) 739-4803,https://haroldsaussermemorials.com/,,,54.0,B — High Priority,74,30,40,not_audited,,,,,,,,,,enhanced,2026-03-07
53,Walters Monument Company,monument,Summit Hill,(570) 645-3415,https://www.waltersmonument.com/,4.5,20,54.0,B — High Priority,59,65,25,not_audited,,,,,,,,,,enhanced,2026-03-07
54,James H. Evans Funeral Home,funeral_home,St Clair,(570) 429-0663,https://www.jameshevansfh.com/,4.6,5,52.4,B — High Priority,47,75,32,transitioning,True,True,False,False,False,custom,True,True,,enhanced,2026-03-07
55,Robert A Evans Jr Funeral Home,funeral_home,Port Carbon,(570) 622-8411,https://www.robertaevansjrfh.com/,5.0,6,51.0,B — High Priority,47,75,25,transitioning,True,True,False,False,False,custom,True,True,,enhanced,2026-03-07
56,"Greenwood Memorial, LLC",cemetery,Tower City,(717) 647-9382,https://www.minnichfuneral.com/cemetery/greenwood-cemetery,,,50.9,B — High Priority,74,25,32,not_audited,,,,,,,,,,enhanced,2026-03-07
57,"E. Franklin Griffiths Funeral Home & Cremation Services, Inc.",funeral_home,Tamaqua,(570) 668-2550,https://www.griffithsfuneralhomes.com/,5.0,81,47.0,C — Medium Priority,11,95,65,modern,True,True,True,True,True,FuneralWebHost,True,True,,enhanced,2026-03-07
58,Albert Gricoski Funeral Home,funeral_home,Frackville,(484) 269-6714,https://www.markjhummelfuneralhome.com/,5.0,1,44.7,C — Medium Priority,19,72,68,modern,True,True,True,True,True,FuneralWebHost,True,True,,enhanced,2026-03-07
59,Mark J Hummel Funeral Home,funeral_home,Frackville,(570) 874-0197,https://www.markjhummelfuneralhome.com/,5.0,38,44.6,C — Medium Priority,11,85,68,modern,True,True,True,True,True,FuneralWebHost,True,True,,enhanced,2026-03-07
60,Lamar Christ Funeral Home,funeral_home,Tamaqua,(570) 668-1580,https://www.lamarchristfuneralhome.com/,5.0,5,43.0,C — Medium Priority,15,75,65,modern,True,True,True,True,True,FuneralWebHost,True,True,,enhanced,2026-03-07
61,Schlitzer Allen Pugh Funeral Home,funeral_home,Pottsville,(570) 622-7888,https://www.schlitzerallenpugh.com/,5.0,43,42.6,C — Medium Priority,11,85,58,modern,True,True,True,True,True,FuneralWebHost,True,True,,enhanced,2026-03-07
62,Kull-Heizenroth Funeral Home,funeral_home,Ashland,(570) 875-1680,https://www.kullfuneral.com/funeral-home-ashland-pa,4.6,9,39.6,C — Medium Priority,15,75,48,modern,True,True,True,True,True,FuneralWebHost,True,True,,enhanced,2026-03-07
63,H L Snyder Funeral Home Inc,funeral_home,Pine Grove,(570) 345-2266,https://www.hlsnyderfuneralhome.com/,5.0,5,36.4,C — Medium Priority,15,75,32,modern,True,True,True,True,True,FuneralWebHost,True,True,,enhanced,2026-03-07
64,Hamilton-Breiner Funeral Home,funeral_home,Orwigsburg,(570) 366-0521,https://www.orwigsburgfuneral.com/,5.0,2,36.1,C — Medium Priority,19,72,25,modern,True,True,True,True,True,FuneralWebHost,True,True,,enhanced,2026-03-07
65,"Haus Bartashus Funeral Home & Crematory, Inc.",funeral_home,New Philadelphia,(570) 277-6941,https://www.gsesfuneralhomes.com/new-philadelphia-pa-funeral-home,,,33.0,D — Lower Priority,26,50,25,modern,True,True,True,True,True,FuneralWebHost,True,True,,enhanced,2026-03-07
